disp_gday,calc_gday,balance
119,119.24,95719
119,119.28,95719
119,119.3,95719
119,119.37,95719
119,119.38,95719
119,119.39,95719
119,119.4,95719
119,119.41,95719
119,119.42,95719
119,119.43,95719
119,119.44,95719
119,119.45,95719
119,119.46,95719
119,119.47,96214
119,119.48,96214
119,119.49,96214
119,119.5,96214
119,119.51,96725
119,119.52,96725
119,119.53,96725
119,119.54,96725
119,119.55,96725
119,119.56,96725
119,119.57,96725
119,119.58,96725
119,119.59,96725
119,119.6,96725
119,119.61,96725
119,119.62,96725
119,119.63,96725
119,119.64,96725
119,119.65,96725
119,119.66,96725
119,119.67,96725
119,119.68,96725
119,119.69,96725
119,119.7,96725
119,119.71,97725
119,119.72,97725
119,119.73,97725
119,119.74,97725
119,119.75,97725
119,119.76,97725
119,119.77,97725
119,119.78,97725
119,119.79,97725
119,119.8,97725
119,119.81,97725
119,119.82,97725
119,119.83,97725
119,119.84,97725
119,119.85,98725
119,119.86,99725
119,119.87,99725
119,119.88,99725
119,119.89,99725
119,119.9,99725
119,119.91,99725
119,119.92,99725
119,119.93,99725
119,119.94,100497
119,119.95,100497
119,119.96,100497
119,119.97,100497
119,119.98,100497
119,119.99,100497
119,120.0,100497
119,120.01,100497
120,120.02,100522
120,120.03,100522
120,120.04,100522
120,120.05,100522
120,120.06,100522
120,120.07,101064
120,120.08,101064
120,120.09,101064
120,120.1,101064
120,120.11,101064
120,120.12,101064
120,120.13,101064
120,120.14,101064
120,120.15,101064
120,120.16,101064
120,120.17,101064
120,120.18,102064
120,120.19,102064
120,120.2,102064
120,120.21,102064
120,120.22,102064
120,120.23,102064
120,120.24,102064
120,120.25,102064
120,120.26,103064
120,120.27,103064
120,120.28,103064
120,120.29,103064
120,120.3,103064
120,120.31,103064
120,120.32,103064
120,120.33,103064
120,120.34,103064
120,120.35,103064
120,120.36,103064
120,120.37,103064
120,120.38,103064
120,120.39,103064
120,120.4,103064
120,120.41,103064
120,120.42,103064
120,120.43,103064
120,120.44,103064
120,120.45,103064
120,120.46,103064
120,120.47,103064
120,120.48,103064
120,120.49,103064
120,120.5,103064
120,120.51,103064
120,120.52,103064
120,120.53,103064
120,120.54,103064
120,120.55,103064
120,120.56,103064
120,120.57,103064
120,120.58,103064
120,120.59,103064
120,120.6,103064
120,120.61,103064
120,120.62,103064
120,120.63,103064
120,120.64,103064
120,120.65,103064
120,120.66,103064
120,120.67,103064
120,120.68,103064
120,120.69,103064
120,120.7,103064
120,120.71,104064
120,120.72,104064
120,120.73,104064
120,120.74,104064
120,120.75,104064
120,120.76,105063
120,120.77,105063
120,120.78,105063
120,120.79,105063
120,120.8,105063
120,120.81,105063
120,120.82,105063
120,120.83,105063
120,120.84,105133
120,120.85,105133
120,120.86,105133
120,120.87,105133
120,120.88,105133
120,120.89,105133
120,120.9,105133
120,120.91,105133
120,120.92,105133
120,120.93,105133
120,120.94,105133
120,120.95,105133
120,120.96,105133
120,120.97,106133
120,120.98,106133
120,120.99,106133
120,121.0,106133
120,121.01,107133
121,121.02,107160
121,121.03,107160
121,121.04,107160
121,121.05,107160
121,121.06,107160
121,121.07,107160
121,121.08,108160
121,121.09,108160
121,121.1,108160
121,121.11,108160
121,121.12,109160
121,121.13,109160
121,121.14,109160
121,121.15,109160
121,121.16,109160
121,121.17,109160
121,121.18,109160
121,121.19,109160
121,121.2,109160
121,121.21,109160
121,121.22,109160
121,121.23,109160
121,121.24,110160
121,121.25,110160
121,121.26,110160
121,121.27,110160
121,121.28,110160
121,121.29,110160
121,121.3,110160
121,121.31,110160
121,121.32,110160
121,121.33,110160
121,121.34,111160
121,121.35,111160
121,121.36,111160
121,121.37,111703
121,121.38,111703
121,121.39,112276
121,121.4,112276
121,121.41,112276
121,121.42,112276
121,121.43,112276
121,121.44,112276
121,121.45,112276
121,121.46,112276
121,121.47,112276
121,121.48,112276
121,121.49,112843
121,121.5,112843
121,121.51,112843
121,121.52,112843
121,121.53,112843
121,121.54,112843
121,121.55,112843
121,121.56,112843
121,121.57,112843
121,121.58,112843
121,121.59,112843
121,121.6,112843
121,121.61,112843
121,121.62,112843
121,121.63,112843
121,121.64,112843
121,121.65,112843
121,121.66,112843
121,121.67,112843
121,121.68,112843
121,121.69,112843
121,121.7,112843
121,121.71,112843
121,121.72,112843
121,121.73,112843
121,121.74,112843
121,121.75,112843
121,121.76,112843
121,121.77,112843
121,121.78,112843
121,121.79,112843
121,121.8,112843
121,121.81,112843
121,121.82,112843
